line,direction,stop,bus,datetime,estimateArrive
24,2026-08-17T18:15:42.703828,1166,LTZ1166,Pimlico,490012280A,341,1705
73,2026-08-17T18:15:42.703828,1843,LTZ1843,"Stoke Newington, Common",490010689OJ,343,1715
24,2026-08-17T18:15:42.703828,1025,LTZ1025,Pimlico,490010260SD,358,1790
73,2026-08-17T18:15:42.703828,1534,LTZ1534,Oxford Circus,490012837K,443,2215
73,2026-08-17T18:15:42.703828,1835,LTZ1835,"Stoke Newington, Common",490010689OJ,716,3580
73,2026-08-17T18:15:42.703828,1529,LTZ1529,Oxford Circus,490012837K,803,4015
24,2026-08-17T18:15:42.703828,1690,LTZ1690,Pimlico,490012280A,1007,5035
73,2026-08-17T18:15:42.703828,1212,LTZ1212,Oxford Circus,490012837K,1163,5815
73,2026-08-17T18:15:42.703828,1826,LTZ1826,"Stoke Newington, Common",490010689OJ,1497,7485
73,2026-08-17T18:16:28.357953,1209,LTZ1209,Oxford Circus,490003569S2,2,10
18,2026-08-17T18:16:28.357953,75,LF75OOG,Sudbury,490005720W,2,10
73,2026-08-17T18:16:28.357953,1523,LTZ1523,"Stoke Newington, Common",490000007X,3,15
73,2026-08-17T18:16:28.357953,1204,LTZ1204,Oxford Circus,490000007F,9,45
24,2026-08-17T18:16:28.357953,1169,LTZ1169,Hampstead Heath,490004714J,10,50
25,2026-08-17T18:16:28.357953,20,SK20AYN,"Ilford, Hainault Street",490000004E,12,60
73,2026-08-17T18:16:28.357953,1526,LTZ1526,"Stoke Newington, Common",490003915N,18,90
73,2026-08-17T18:16:28.357953,1499,LTZ1499,Oxford Circus,490001172X,20,100
73,2026-08-17T18:16:28.357953,1833,LTZ1833,"Stoke Newington, Common",490000129E,29,145
24,2026-08-17T18:16:28.357953,1640,LTZ1640,Hampstead Heath,490014496N,32,160
73,2026-08-17T18:16:28.357953,2180,LTZ2180,"Stoke Newington, Common",490012837J,42,210
73,2026-08-17T18:16:28.357953,1519,LTZ1519,"Stoke Newington, Common",490005816N2,47,235
73,2026-08-17T18:16:28.357953,1815,LTZ1815,"Stoke Newington, Common",490001172K,50,250
24,2026-08-17T18:16:28.357953,1272,LTZ1272,Hampstead Heath,490011003E,51,255
24,2026-08-17T18:16:28.357953,1038,LTZ1038,Pimlico,490000152C,52,260
73,2026-08-17T18:16:28.357953,1491,LTZ1491,"Stoke Newington, Common",490010689OJ,57,285
73,2026-08-17T18:16:28.357953,1538,LTZ1538,"Stoke Newington, Common",490015700C,60,300
24,2026-08-17T18:16:28.357953,1156,LTZ1156,Pimlico,490003179S,66,330
24,2026-08-17T18:16:28.357953,1622,LTZ1622,Hampstead Heath,490000252S,70,350
73,2026-08-17T18:16:28.357953,1743,LTZ1743,"Stoke Newington, Common",490000235C,77,385
24,2026-08-17T18:16:28.357953,1162,LTZ1162,Pimlico,490012765S,91,455
24,2026-08-17T18:16:28.357953,1784,LTZ1784,Hampstead Heath,490000235C,92,460
73,2026-08-17T18:16:28.357953,1827,LTZ1827,"Stoke Newington, Common",490000252X,97,485
24,2026-08-17T18:16:28.357953,1786,LTZ1786,Pimlico,490012158S,97,485
73,2026-08-17T18:16:28.357953,1821,LTZ1821,Oxford Circus,490000077H,97,485
73,2026-08-17T18:16:28.357953,1476,LTZ1476,Oxford Circus,490004452U,100,500
24,2026-08-17T18:16:28.357953,1628,LTZ1628,Pimlico,490010260SD,121,605
24,2026-08-17T18:16:28.357953,1607,LTZ1607,Pimlico,490004695D,122,610
73,2026-08-17T18:16:28.357953,1517,LTZ1517,Oxford Circus,490002121ZT,199,995
24,2026-08-17T18:16:28.357953,1684,LTZ1684,Hampstead Heath,490015048A,200,1000
24,2026-08-17T18:16:28.357953,1166,LTZ1166,Pimlico,490012280A,277,1385
73,2026-08-17T18:16:28.357953,1843,LTZ1843,"Stoke Newington, Common",490010689OJ,297,1485
24,2026-08-17T18:16:28.357953,1025,LTZ1025,Pimlico,490010260SD,354,1770
73,2026-08-17T18:16:28.357953,1534,LTZ1534,Oxford Circus,490012837K,397,1985
