line_sn,line_id,direction,lat,lon,sequence
25,25,1,51.55196,0.05137,7
25,25,1,51.55112,0.04868,8
25,25,1,51.54918,0.04365,9
25,25,1,51.54816,0.03951,10
25,25,1,51.54741,0.03517,11
25,25,1,51.54681,0.03029,12
25,25,1,51.54653,0.02685,13
25,25,1,51.54615,0.02289,14
25,25,1,51.54541,0.01933,15
25,25,1,51.54397,0.01376,16
25,25,1,51.54287,0.0099,17
25,25,1,51.54126,0.00262,18
25,25,1,51.54094,-0.00246,19
25,25,1,51.53735,-0.00257,20
25,25,1,51.53584,-0.00458,21
25,25,1,51.53378,-0.00718,22
25,25,1,51.53031,-0.01208,23
25,25,1,51.52841,-0.01722,24
25,25,1,51.52794,-0.02047,25
25,25,1,51.52735,-0.02403,26
25,25,1,51.52606,-0.02956,27
25,25,1,51.52536,-0.03313,28
25,25,1,51.52433,-0.03669,29
25,25,1,51.52316,-0.0392,30
25,25,1,51.52225,-0.04227,31
25,25,1,51.5217,-0.04665,32
25,25,1,51.52114,-0.04924,33
25,25,1,51.52036,-0.05313,34
25,25,1,51.51994,-0.05537,35
25,25,1,51.51891,-0.06043,36
25,25,1,51.51785,-0.06504,37
25,25,1,51.51694,-0.06778,38
25,25,1,51.51465,-0.07321,39
25,25,1,51.51408,-0.07493,40
25,25,1,51.51327,-0.07938,41
25,25,1,51.51342,-0.0827,42
25,25,1,51.51327,-0.08775,43
25,25,1,51.51365,-0.09155,44
25,25,1,51.51419,-0.09505,45
25,25,1,51.51525,-0.09851,46
25,25,1,51.51642,-0.10258,47
25,25,1,51.51801,-0.10544,48
25,25,1,51.51802,-0.10679,49
25,25,2,51.51758,-0.10638,0
25,25,2,51.51689,-0.10373,1
25,25,2,51.51572,-0.09984,2
25,25,2,51.51443,-0.09563,3
25,25,2,51.51374,-0.09146,4
25,25,2,51.51338,-0.0876,5
25,25,2,51.51345,-0.08499,6
25,25,2,51.51351,-0.08275,7
25,25,2,51.51333,-0.07887,8
25,25,2,51.514293,-0.074735,9
25,25,2,51.5155,-0.07143,10
25,25,2,51.5167,-0.06852,11
25,25,2,51.51819,-0.06452,12
25,25,2,51.51941,-0.05879,13
25,25,2,51.52034,-0.05414,14
25,25,2,51.52091,-0.05115,15
25,25,2,51.52177,-0.04699,16
25,25,2,51.52223,-0.04475,17
25,25,2,51.52281,-0.04085,18
25,25,2,51.52435,-0.03709,19
25,25,2,51.52537,-0.03392,20
25,25,2,51.52639,-0.0292,21
25,25,2,51.52712,-0.02587,22
25,25,2,51.52806,-0.02075,23
25,25,2,51.52895,-0.01688,24
25,25,2,51.53128,-0.0112,25
25,25,2,51.53465,-0.00655,26
25,25,2,51.53689,-0.00366,27
25,25,2,51.54144,-0.00238,28
25,25,2,51.541,-0.00191,29
25,25,2,51.54079,0.0011,30
25,25,2,51.54233,0.00499,31
25,25,2,51.54266,0.00861,32
25,25,2,51.54446,0.01538,33
25,25,2,51.54584,0.02063,34
25,25,2,51.54646,0.02441,35
25,25,2,51.5471,0.03191,36
25,25,2,51.54777,0.03658,37
25,25,2,51.54835,0.0398,38
25,25,2,51.54919,0.04318,39
25,25,2,51.55042,0.04671,40
25,25,2,51.5519,0.05072,41
25,25,2,51.55257,0.05281,42
25,25,2,51.55363,0.05565,43
25,25,2,51.55509,0.06024,44
25,25,2,51.55601,0.06383,45
25,25,2,51.55816,0.06891,46
25,25,2,51.55769,0.07024,47
25,25,2,51.55815,0.07435,48
25,25,2,51.55959,0.07589,49
73,73,1,51.51567,-0.13905,0
73,73,1,51.51638,-0.13195,1
73,73,1,51.51767,-0.13154,2
73,73,1,51.52113,-0.13505,3
73,73,1,51.52411,-0.13765,4
73,73,1,51.5256,-0.13685,5
73,73,1,51.52772,-0.13231,6
73,73,1,51.52903,-0.12661,7
73,73,1,51.5305,-0.12307,8
73,73,1,51.53111,-0.11856,9
73,73,1,51.53131,-0.11577,10
73,73,1,51.53164,-0.11175,11
73,73,1,51.53228,-0.10929,12
73,73,1,51.53285,-0.10717,13
73,73,1,51.53396,-0.10558,14
73,73,1,51.53622,-0.10243,15
73,73,1,51.53761,-0.10031,16
73,73,1,51.53831,-0.09948,17
73,73,1,51.54005,-0.09694,18
73,73,1,51.54248,-0.09225,19
73,73,1,51.54449,-0.08933,20
73,73,1,51.54704,-0.08691,21
73,73,1,51.54966,-0.08716,22
73,73,1,51.55169,-0.08572,23
73,73,1,51.5565,-0.08409,24
73,73,1,51.55836,-0.08247,25
73,73,1,51.56062,-0.0835,26
73,73,1,51.56226,-0.07828,27
73,73,1,51.56208,-0.07458,28
73,73,1,51.56233,-0.07369,29
73,73,1,51.56297,-0.07187,30
73,73,1,51.56205,-0.06855,31
73,73,2,51.56086,-0.07032,0
73,73,2,51.56065,-0.07344,1
73,73,2,51.56205,-0.07547,2
73,73,2,51.56218,-0.07801,3
73,73,2,51.56118,-0.08293,4
73,73,2,51.55893,-0.08243,5
73,73,2,51.55637,-0.08394,6
73,73,2,51.55248,-0.08518,7
73,73,2,51.55164,-0.08453,8
73,73,2,51.5498,-0.0869,9
73,73,2,51.54721,-0.08663,10
73,73,2,51.54558,-0.08768,11
73,73,2,51.54351,-0.09052,12
73,73,2,51.5409,-0.09529,13
73,73,2,51.53821,-0.09938,14
73,73,2,51.53684,-0.10108,15
73,73,2,51.53576,-0.10317,16
73,73,2,51.53374,-0.10546,17
73,73,2,51.53178,-0.10776,18
73,73,2,51.53164,-0.11044,19
73,73,2,51.53121,-0.11531,20
73,73,2,51.53084,-0.12052,21
73,73,2,51.53047,-0.12169,22
73,73,2,51.52946,-0.12499,23
73,73,2,51.52818,-0.12824,24
73,73,2,51.52651,-0.13289,25
73,73,2,51.52569,-0.13534,26
73,73,2,51.52522,-0.13671,27
73,73,2,51.52257,-0.13608,28
73,73,2,51.52059,-0.13423,29
73,73,2,51.51807,-0.13158,30
73,73,2,51.51609,-0.13407,31
73,73,2,51.51547,-0.13992,32
