id,name,lat,lon,line,direction
490012651S,St Dominic's Priory,51.55169,-0.15719,24,2
490011330S,Grafton Terrace,51.55032,-0.15397,24,2
490011330S2,Queen's Crescent,51.54876,-0.15268,24,2
490012765S,Prince of Wales Road,51.54642,-0.15099,24,2
490006798CL,Ferdinand Street,51.54395,-0.14908,24,2
490007927M,Hawley Road,51.54288,-0.14355,24,2
490004713D,Camden Gardens,51.54197,-0.14103,24,2
490000036S,Camden Town Station,51.5398,-0.14135,24,2
490011168S2,Pratt Street,51.53715,-0.13952,24,2
490000152C,Mornington Crescent Station,51.53344,-0.13862,24,2
490012158S,Silverdale,51.53074,-0.1386,24,2
490010158S,William Road,51.52707,-0.13852,24,2
490015042U,Warren Street Station  / Euston Road,51.52581,-0.13847,24,2
490002121ZT,Capper Street,51.52257,-0.13608,24,2
490005084Z,Goodge Street Station,51.52059,-0.13423,24,2
490002124ZZ,Stephen Street,51.51807,-0.13158,24,2
490000235GX,Tottenham Court Road Station,51.51539,-0.12995,24,2
490004695D,Cambridge Circus,51.51341,-0.12921,24,2
490000135B,Leicester Square Station,51.51162,-0.12834,24,2
490016161S,St Martin's Place,51.50985,-0.12787,24,2
490013767D,Trafalgar Square / Charing Cross Stn,51.50819,-0.12706,24,2
490014585N,Whitehall / Trafalgar Square,51.50631,-0.12705,24,2
490008376S,Horse Guards Parade,51.50432,-0.12609,24,2
490015048T,Westminster Stn  / Parliament Square,51.50248,-0.126,24,2
490010260SD,St James's Park Station,51.49758,-0.1348,24,2
490003384SB,Westminster City Hall,51.49715,-0.13745,24,2
490014496M,Westminster Cathedral / Victoria Stn,51.4966,-0.1411,24,2
490000248S,Victoria Station,51.496,-0.14227,24,2
490014259S,Warwick Way,51.49282,-0.14054,24,2
490003837S,Belgrave Road,51.49076,-0.13884,24,2
490012708G,St George's Square / Pimlico Station,51.489,-0.13516,24,2
490011004W,Pimlico Academy & Library,51.48828,-0.13734,24,2
490003179S,Alderney Street,51.48792,-0.13961,24,2
490014504W,Winchester Street,51.48759,-0.14229,24,2
490014504S,Westmoreland Terrace,51.48672,-0.14522,24,2
490007657V,Hainault Street,51.55932,0.07601,25,1
490008466Q1,Redbridge Central Library,51.55785,0.07405,25,1
490008465L,Ilford Broadway,51.5584,0.07067,25,1
490004985Y,Chapel Road,51.55736,0.06785,25,1
490006059W,Dersingham Avenue,51.55528,0.06203,25,1
490009219W,Little Ilford Lane,51.55447,0.05937,25,1
490009570W,Rabbits Road,51.55338,0.05531,25,1
490006856W,First Avenue,51.55196,0.05137,25,1
490008189W,High Street North,51.55112,0.04868,25,1
490001341G,Woodgrange Park Station,51.54918,0.04365,25,1
490012131W,Shrewsbury Road,51.54816,0.03951,25,1
490008603W,Katherine Road,51.54741,0.03517,25,1
490007497W,Green Street,51.54681,0.03029,25,1
490006917E,Woodgrange Road,51.54653,0.02685,25,1
490012414W,Sprowston Road,51.54615,0.02289,25,1
490006936W,Margery Park Road,51.54541,0.01933,25,1
490003468W,Atherton Leisure Centre,51.54397,0.01376,25,1
490014269W,Water Lane / University of East London,51.54287,0.0099,25,1
490015114E,Stratford Centre / Moorfields Eye Hosp,51.54126,0.00262,25,1
490012904T,Stratford Bus Station,51.54094,-0.00246,25,1
490004815S,Stratford High St / Carpenters Road,51.53735,-0.00257,25,1
490014249S,Warton Road,51.53584,-0.00458,25,1
490003025W,Abbey Lane,51.53378,-0.00718,25,1
490004215P,Bow Flyover,51.53031,-0.01208,25,1
490004206J,Bow Church,51.52841,-0.01722,25,1
490002019B,Bow Church Station,51.52794,-0.02047,25,1
490000029Z,Bow Road Station,51.52735,-0.02403,25,1
490012648K,Coborn Road,51.52606,-0.02956,25,1
490000146C,Mile End Station,51.52536,-0.03313,25,1
490007341W,Regents Canal,51.52433,-0.03669,25,1
490011315W,Queen Mary / University of London,51.52316,-0.0392,25,1
490010513W,Ocean Estate,51.52225,-0.04227,25,1
490000220W2,Stepney Green Station,51.5217,-0.04665,25,1
490015508W1,Stepney Green,51.52114,-0.04924,25,1
490004147W,Booth Memorial,51.52036,-0.05313,25,1
490012153F,Sidney Street,51.51994,-0.05537,25,1
490013541A,Whitechapel Stn  / Royal London Hosp,51.51891,-0.06043,25,1
490010258K,The East London Mosque,51.51785,-0.06504,25,1
490006827W,Pimlico Academy Library & Waes,51.51694,-0.06778,25,1
490000004W,Aldgate East Station,51.51465,-0.07321,25,1
490000003R,Aldgate Station,51.51408,-0.07493,25,1
490012755W,St Katharine Cree,51.51327,-0.07938,25,1
490012783W,St Mary Axe,51.51342,-0.0827,25,1
490000013E,Bank Station  / Cornhill,51.51327,-0.08775,25,1
490007596L,Poultry / Bank Station,51.51365,-0.09155,25,1
490015124Z,Bread Street,51.51419,-0.09505,25,1
490000225T,St Paul's Station,51.51525,-0.09851,25,1
490001067N,City Thameslink Station,51.51642,-0.10258,25,1
490005027N,Snow Hill,51.51801,-0.10544,25,1
490015096W,Holborn Circus,51.51802,-0.10679,25,1
490008275K,Holborn Circus,51.51758,-0.10638,25,2
490001067Q,City Thameslink Station,51.51689,-0.10373,25,2
490000225S,King Edward Street,51.51572,-0.09984,25,2
49000225SY,St Paul's Station,51.51443,-0.09563,25,2
